prop,seed,test_lang,en_role,nl_role,en_frac,nl_frac,neither_frac,n
0.01,1,nl,part,det,2.5412960609911054e-05,0.9785514612452351,0.02142312579415502,39350
0.01,1,nl,det,noun,0.028050514066580712,0.9704122450328937,0.0015372409005256372,60498
0.01,1,nl,noun,prep,0.03589411595453892,0.964105884045461,0.0,13902
0.01,1,nl,prep,det,0.03589411595453892,0.964105884045461,0.0,13902
0.01,1,nl,noun,part,0.012757306226175349,0.9866836086404066,0.0005590851334180432,39350
0.01,1,en,part,det,0.9999520774428523,4.79225571476494e-05,0.0,41734
0.01,1,en,det,noun,0.9999210684178954,7.89315821046317e-05,0.0,63346
0.01,1,en,noun,part,0.9999281161642786,0.0,7.18838357214741e-05,41734
0.01,1,en,verb,det,0.9876969864528615,0.0,0.012303013547138513,7234
0.01,1,en,noun,verb,1.0,0.0,0.0,7234
0.01,1,en,noun,prep,0.9998608985950758,0.00013910140492418973,0.0,14378
0.01,1,en,prep,det,0.9997913478926137,0.0002086521073862846,0.0,14378
0.01,1,nl,verb,det,0.0,0.938034777808446,0.06196522219155396,7246
0.01,1,nl,noun,verb,0.04236820314656362,0.9573557825006901,0.0002760143527463428,7246
0.01,1,en,noun,rel,1.0,0.0,0.0,7137
0.01,1,en,rel,det,1.0,0.0,0.0,7137
0.01,1,en,verb,noun,0.9878100042034468,0.0,0.012189995796553174,7137
0.01,1,en,det,verb,1.0,0.0,0.0,7137
0.01,1,nl,noun,rel,0.041451500348918355,0.9574319609211445,0.0011165387299371947,7165
0.01,1,nl,rel,det,0.011723656664340545,0.9574319609211445,0.030844382414515002,7165
0.01,1,nl,verb,noun,0.0,0.9574319609211445,0.04256803907885555,7165
0.01,1,nl,det,verb,0.0,0.9877180739706909,0.012281926029309142,7165
0.01,2,en,verb,det,0.9879300776914539,0.0,0.01206992230854606,7208
0.01,2,en,det,noun,1.0,0.0,0.0,64536
0.01,2,en,noun,verb,1.0,0.0,0.0,7208
0.01,2,en,part,det,1.0,0.0,0.0,42992
0.01,2,en,noun,part,1.0,0.0,0.0,42992
0.01,2,en,noun,rel,1.0,0.0,0.0,7231
0.01,2,en,rel,det,1.0,0.0,0.0,7231
0.01,2,en,verb,noun,0.988659936385009,0.0,0.01134006361499101,7231
0.01,2,en,det,verb,1.0,0.0,0.0,7231
0.01,2,nl,part,det,0.009200583322285563,0.8265941932917937,0.16420522338592072,37715
